             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         3.3479       370.3300         0.0001        -0.0116         0.0119        -0.4325        -0.1441        -1.0216         0.1471        -0.1072        -0.3272
         3.3621       368.7700         0.0110        38.0145       -99.5289         0.0090       -20.5018       -59.7653        11.7037       -15.5587       -21.2068
         3.3768       367.1700         0.0772      -249.9021         2.0203        -0.0220       -82.6346        -3.9930      -132.0994      -104.9612       -80.3512
         3.4070       363.9100         0.2036         0.5208        29.7727        -0.1359        10.0525        16.8911        -0.7054        21.3448        12.5102
         3.4296       361.5100         0.0049        -0.1858         0.0004      -102.6502       -34.2785      -116.7033       -12.2708        -0.1815       -43.0519
         3.4321       361.2500         0.0130        -2.4121         1.9915        -0.3624        -0.2610        29.5343        -1.8463       -28.4723        -0.2614
         3.4386       360.5700         0.0009         0.1009         0.0848       -20.1967        -6.6703        -0.1059       -26.2266         0.0962        -8.7455
         3.4462       359.7700         0.0052        -0.0253         0.0322      -105.8821       -35.2917      -104.4276       -23.5670        -0.0262       -42.6736
         3.4615       358.1800         0.0069        15.5918        15.4680        -0.0347        10.3417        18.8001         0.5137        11.3811        10.2316
         3.4718       357.1200         0.0041         7.0459        52.5845       -11.5368        16.0312        37.7964       -12.4054        29.2060        18.1990
         3.4719       357.1000         0.0032        -5.3244        68.6659        -5.8497        19.1639        46.5597       -11.2235        34.6164        23.3175
         3.4991       354.3300         0.0065         1.4494       -95.6752        -0.2295       -31.4851       -53.7159         0.2765       -53.3688       -35.6027
         3.5110       353.1300         0.0320        87.2645        27.5500        -0.1339        38.2269        38.5762        38.4318        37.8402        38.2827
         3.5188       352.3500         0.0006        -0.0661        -0.2205       -11.4181        -3.9016        -4.5068        -5.0475        -0.1314        -3.2286
         3.5258       351.6500         0.0276       112.2583       -23.1574         0.0047        29.7019       -36.2993        56.4085        53.9426        24.6839
         3.5352       350.7100         0.0367         0.0180        -0.2649      -246.0634       -82.1034      -158.2065      -107.5288        -0.1812       -88.6388
         3.5523       349.0200         0.0140       131.6691       -43.8616         1.5221        29.7765       -25.2465        69.8534        37.6859        27.4309
         3.5580       348.4700         0.0032         0.4160        -0.1398       103.4015        34.5592        49.3614        77.6774         0.1579        42.3989
         3.5694       347.3500         0.0015        -0.1474         0.0336        -3.5095        -1.2078        43.9243       -48.6856        -0.0429        -1.6014
         3.5903       345.3400         0.0060       -10.6749       -16.9961         0.0664        -9.2015        -4.4057        -5.0418       -15.5413        -8.3296
         3.5932       345.0500         0.0023         2.5510        -0.0666        40.1362        14.2069        25.0796        17.6587         0.7765        14.5049
         3.5999       344.4100         0.0126       103.1714         2.8631         0.1880        35.4075         1.1617        60.9115        42.7764        34.9499
         3.6135       343.1100         0.0049        -4.3410        -4.0112        -2.2001        -3.5174       -38.5797        33.0821        -5.0614        -3.5197
         3.6153       342.9400         0.0171       -12.3054       -23.2479        -2.1675       -12.5736       -22.0772         9.3278       -24.6215       -12.4570
         3.6254       341.9900         0.0295        32.1993        31.2567         0.0017        21.1526        10.4368        27.5357        24.7278        20.9001
         3.6284       341.7100         0.0003        -0.1714         0.0068         4.0603         1.2986         6.1349        -2.3041        -0.1102         1.2402
         3.6495       339.7300         0.0423       129.3052        49.4606       -17.1954        53.8568        13.4311        62.0373        86.5437        54.0041
         3.6503       339.6500         0.0162        43.5738        19.9846       -40.4476         7.7036       -28.3505         7.9600        30.8896         3.4997
         3.6574       338.9900         0.0703       178.2977        -4.9332        -0.0489        57.7719         0.6611       108.1105        61.4912        56.7542
         3.6700       337.8300         0.0054        -0.7323        -0.1179       -28.9559        -9.9354       -19.8330        -9.2621        -0.3389        -9.8113
         3.6827       336.6600         0.0272      -157.9974       -43.1942        -0.0570       -67.0829       -44.5733       -82.8087       -72.9989       -66.7936
         3.6898       336.0200         0.0060        83.7909        29.4882        -0.5430        37.5787        21.4145        37.4271        51.0651        36.6356
         3.6907       335.9400         0.0018         0.1348        -0.1645        -5.7369        -1.9222        -2.1496        -6.5844         0.3243        -2.8032
         3.6999       335.1000         0.0110       -63.5588        57.7209       -43.2929       -16.3770         6.7253       -43.3358         1.1829       -11.8092
         3.7006       335.0300         0.0056        -6.7721         3.6483        74.9697        23.9486        58.4039        34.5365        -0.8870        30.6845
         3.7011       334.9900         0.0127       -45.0915        38.3151       -85.8761       -30.8842       -38.7431       -50.7225         0.1804       -29.7617
         3.7188       333.4000         0.0109        24.4653        -7.5563         1.1117         6.0069        -7.9630         6.5934        16.5701         5.0668
         3.7195       333.3400         0.0014         2.6735        -1.6678        30.1950        10.4002        17.1658        12.2420         0.9132        10.1070
         3.7259       332.7600         0.0002         0.1330        -0.1780         5.9891         1.9814        -0.5969         2.4728        -0.0214         0.6181
         3.7367       331.8000         0.0046        -4.5657      -103.3889         0.0311       -35.9745       -53.2581        -6.9063       -48.7412       -36.3019
         3.7431       331.2400         0.0164        90.6571        71.4720        -0.1085        54.0069        61.3233        50.5121        45.0837        52.3064
         3.7567       330.0300         0.0010        -4.7340        -8.0615        -2.6152        -5.1369        -2.3763        -3.2137        -3.0572        -2.8824
         3.7593       329.8000         0.0022        -0.2010         1.4797       100.9876        34.0888        81.7238        34.2461         0.6848        38.8849
         3.7625       329.5300         0.0105         0.4554        -0.6280        28.9108         9.5794        11.0846        20.6936        -0.0900        10.5628
         3.7731       328.6000         0.0499       135.1194       175.6214         0.0940       103.6116       147.3341        70.6577       112.1998       110.0638
         3.7859       327.4900         0.0521        47.7014        31.8187         0.0074        26.5092        21.8664       -14.1648        64.4283        24.0433
         3.7935       326.8400         0.0688        -6.9990        -5.1685         1.5268        -3.5469         1.0155       -22.5972        15.5341        -2.0158
         3.7962       326.6000         0.0136         0.1204        -0.7929        66.7664        22.0313        53.1150        12.4501         0.3518        21.9723
         3.8086       325.5400         0.0022        -1.1273        -3.8425       -12.1212        -5.6970        10.4863       -28.6050        -1.3881        -6.5023
         3.8098       325.4400         0.0782       -66.4572      -272.5352         0.4827      -112.8366      -220.5982       -47.4755      -106.9952      -125.0230
         3.8193       324.6300         0.0228        -0.1401        -3.0670       147.4376        48.0769       170.2880       -23.5423        -0.7366        48.6697
         3.8230       324.3100         0.0819       121.5599      -216.6060         0.0204       -31.6752      -141.4499        75.1136       -48.7288       -38.3551
         3.8287       323.8300         0.0018        -0.0092         0.0133        26.6299         8.8780        43.1946        -7.4951        -0.0086        11.8970
         3.8380       323.0400         0.0299        88.5826       -17.1782         0.2942        23.8995        -6.1328        17.8387        56.3042        22.6700
         3.8444       322.5000         0.0001         0.1008        -0.0724         6.8282         2.2855         7.2894         5.5387        -0.0063         4.2739
         3.8541       321.6900         0.0091        20.0853        53.9382        -5.1899        22.9445       -15.5177         6.2261        82.1510        24.2864
         3.8589       321.2900         0.0411         0.4465        -0.1319      -288.2494       -95.9782      -323.2969        13.0561         0.2550      -103.3286
         3.8650       320.7800         0.0172        -4.9398       -44.5635        -2.1696       -17.2243      -142.7491        -5.8648        92.9907       -18.5411
         3.8706       320.3200         0.0005         0.5499         0.0473       -18.7534        -6.0520         6.9270       -26.8659         0.4206        -6.5061
         3.8724       320.1700         0.0289        74.9419       -18.7339        -0.7961        18.4706        -5.5473        43.4058        20.2974        19.3853
         3.8830       319.3000         0.0950       334.4865       175.7193        -0.2282       169.9925       184.8670       158.0540       190.9659       177.9623
         3.8880       318.8900         0.0254       -73.6526         4.4826        -0.3965       -23.1888        14.1662       -12.2280       -53.5556       -17.2058
         3.8884       318.8500         0.0176        -2.0708        -0.7186       -27.9238       -10.2377       -42.2214        10.9605        -2.0713       -11.1107
         3.8956       318.2600         0.0472        -0.7565        -0.0086       109.5200        36.2516       -46.2021       163.8657        -0.4518        39.0706
         3.8976       318.1000         0.0145        11.8225         5.6227        -0.8795         5.5219        33.4709        17.0763       -34.0691         5.4927
         3.9071       317.3300         0.0114        -0.9656         0.1679        44.0992        14.4338         8.4503        38.3645        -0.7835        15.3438
         3.9165       316.5700         0.0066        -0.1057         0.1431       -55.0796       -18.3474       -34.0625       -26.6541        -0.0298       -20.2488
         3.9217       316.1500         0.0794      -284.5957       106.8107        -0.4835       -59.4228        79.3040      -124.7882      -116.9310       -54.1384
         3.9248       315.9000         0.0570        -1.1263         0.0683      -145.3004       -48.7861      -237.5418        83.7838        -0.1972       -51.3184
         3.9328       315.2500         0.0291         0.6971       -90.1932        -0.1449       -29.8804      -146.2725         0.3480        54.5523       -30.4574
         3.9352       315.0600         0.0297        15.0550       -12.5233        -1.3972         0.3782       -11.0712         6.0705         6.0499         0.3497
